Model,MSE,R2 Score
Linear Regression,3.5482558704238896,0.8789444226854977
Random Forest,3.611902043333327,0.8767730110154339
Gradient Boosting,3.6774162926837564,0.874537866322643
Support Vector Machine,24.74285585648346,0.15584985708533672
